model,mean_cal_rmse,mean_ensemble_us_rmse,mean_delta,n_labels
FRPN,0.5768613278009607,0.5956757621232366,-0.018814434322275912,7
FRPN_FP,0.5874396267865344,0.5956757621232366,-0.008236135336702291,7
Stage2_Only,0.5968738567716165,0.5956757621232366,0.0011980946483798108,7
Uni_Macro,0.6421564382865764,0.5956757621232366,0.04648067616333972,7
