model,mean_full_rmse,mean_drop_rmse,mean_gain,n_labels
FRPN,0.5707371592845616,0.5830055971877732,0.012268437903211717,7
FRPN_FP,0.5707371592845616,0.5723201531813819,0.001582993896820345,7
Stage2_Only,0.5707371592845616,0.5713288621455276,0.0005917028609659707,7
Uni_Macro,0.5707371592845616,0.570190039917362,-0.0005471193671996186,7
