match_type,glob_feat0,len_bin,topology,mix_mode,row_i,row_j,overlap,chem_profile_id_i,chem_profile_id_j,chain_len_i,chain_len_j
chemistry_control,300.0,"(29.999, 40.0]",branch,block,13,409,0.43333327770233154,1.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,64,0.5,0.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,83,0.46666669845581055,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,133,0.4333333373069763,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,155,0.4333333373069763,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,236,0.4333333373069763,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,271,0.3999999165534973,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,285,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,553,0.4333333373069763,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,50,1016,0.5666666626930237,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,147,0.5666666626930237,1.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,236,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,237,0.5666666626930237,1.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,262,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,271,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,285,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,409,0.5,1.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,553,0.4333333373069763,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,64,1016,0.5,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,147,0.46666669845581055,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,236,0.5333333015441895,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,237,0.46666669845581055,2.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,262,0.43333327770233154,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,271,0.3999999761581421,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,285,0.3999999761581421,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,409,0.3999999761581421,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,553,0.5,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,83,1016,0.46666663885116577,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,147,0.5,0.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,236,0.3999999165534973,0.0,2.0,30,30
