control,model,mean_corr_delta,mean_mae_delta,mean_sign_acc,total_pairs
chemistry_control,FRPN,0.633164036334318,0.5311769860499785,0.857301730589742,203189
chemistry_control,FRPN_FP,0.6266088544319128,0.5381494285279845,0.8570724303349448,203189
chemistry_control,Stage2_Only,0.6172119600450988,0.5487524088155245,0.8547151125117719,203189
chemistry_control,Uni_Macro,0.594317992729592,0.5941307939850675,0.8383672112624776,203189
