match_type,glob_feat0,chain_len,row_i,row_j,overlap,topology_i,topology_j,ordering_i,ordering_j
chemistry_matched_structure_variation,300.0,30,407,1016,0.9666666388511658,branch,branch,random,block
chemistry_matched_structure_variation,300.0,30,453,633,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,30,504,521,1.0,linear,linear,block,random
chemistry_matched_structure_variation,300.0,30,609,633,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,30,633,764,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,30,643,846,1.0,star,star,random,block
chemistry_matched_structure_variation,300.0,30,662,768,0.9666666388511658,branch,branch,alternating,random
chemistry_matched_structure_variation,300.0,30,669,1047,0.9666666388511658,star,star,alternating,block
chemistry_matched_structure_variation,300.0,30,669,1059,1.0,star,star,alternating,random
chemistry_matched_structure_variation,300.0,30,691,973,1.0,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,30,832,1047,1.0,star,star,alternating,block
chemistry_matched_structure_variation,300.0,30,832,1059,0.9666666388511658,star,star,alternating,random
chemistry_matched_structure_variation,300.0,30,846,913,0.9666666388511658,star,star,block,random
chemistry_matched_structure_variation,300.0,30,1041,1058,1.0,linear,linear,block,random
chemistry_matched_structure_variation,300.0,30,1047,1059,0.9666666388511658,star,star,block,random
chemistry_matched_structure_variation,300.0,40,2,698,0.949999988079071,star,linear,block,block
chemistry_matched_structure_variation,300.0,40,2,882,0.9750000238418579,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,6,34,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,6,124,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,6,210,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,6,268,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,6,290,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,6,363,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,6,481,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,6,493,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,6,502,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,6,809,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,34,54,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,34,124,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,34,151,0.949999988079071,linear,star,alternating,random
chemistry_matched_structure_variation,300.0,40,34,290,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,34,293,0.949999988079071,linear,star,alternating,random
chemistry_matched_structure_variation,300.0,40,34,363,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,34,481,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,34,493,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,34,502,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,34,809,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,36,52,1.0,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,36,85,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,36,165,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,36,249,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,36,295,0.949999988079071,linear,star,alternating,alternating
chemistry_matched_structure_variation,300.0,40,36,344,1.0,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,36,376,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,36,442,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,36,458,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,36,574,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,36,670,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,36,712,1.0,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,36,757,0.949999988079071,linear,star,alternating,block
chemistry_matched_structure_variation,300.0,40,52,85,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,52,156,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,52,165,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,52,249,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,52,295,0.949999988079071,linear,star,random,alternating
chemistry_matched_structure_variation,300.0,40,52,376,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,52,442,0.949999988079071,linear,cyclic,random,block
