dataset,model,label,fold,release_path,size_bytes,sha256,notes,original_size_bytes,original_sha256,removed_keys,validation
bcdb,uni-macro-big,,3,bcdb/uni-macro-big/uni-macro-big_fold3_checkpoint.pt,637354490,cef6b5f790a29b0092cc0da2ff3112b27872d24c41f8929a4e98e0788e25fb77,BCDB manuscript/baseline checkpoint,1353025866,f502fc45cc2a7bd208fa580d810c8d852fe3a72e8ed833454acd4c1d9531db4a,optimizer_state,retained tensors and metadata exactly equal after save/load
bcdb,uni-macro-big,,4,bcdb/uni-macro-big/uni-macro-big_fold4_checkpoint.pt,637354490,637586ea0279350fd0682ca3bfd5bd5085d50455a062aaccb7c996ab4a853e1c,BCDB manuscript/baseline checkpoint,1353025866,63cf2f4eff5cea1f3cd37ceef25b2594d29cc8c536405cc88ea931f7e5d3fbb0,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,density,0,md_final1640_v2/FRPN/density/FRPN__density__fold0.pt,568164040,61a780b0cc4d5d903ab223fddb5b5908e26bb423f7608f8acf69465102fec976,MD_FINAL1640_v2 final checkpoint,1276085302,56193c185bd7c46509575df9b3119fde859a7bfbbd2e0963d1d9c0f2022032f3,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,density,1,md_final1640_v2/FRPN/density/FRPN__density__fold1.pt,568164040,40ebd2fcbec4eaf17fd4e8ce9b6851c2fab393a1965cc0049dc0eab2d92b7021,MD_FINAL1640_v2 final checkpoint,1276085302,c9b0c7858f6a08c34d7c7d3b13806d74f3b3df858ab4f3d93a2de2a3b824cb2e,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,density,2,md_final1640_v2/FRPN/density/FRPN__density__fold2.pt,568164040,4cc1afef59fbd0c90b82dde088980f11651ffeb53bf81fc06e676e3da6225098,MD_FINAL1640_v2 final checkpoint,1276085302,d92fcb42172e84ca15d4dabd2b619fd82191b45482772c562848a18bf13d4570,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,density,3,md_final1640_v2/FRPN/density/FRPN__density__fold3.pt,568164040,72bf8bfcc22c9e678c39438293d42b6a9060746309b931c9f5bf0f660967b8ba,MD_FINAL1640_v2 final checkpoint,1276085302,613d964d1d26f0a3f7191538ebaace12dfd577b21f7f4bfb3897c8fa3ee8d0f9,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,density,4,md_final1640_v2/FRPN/density/FRPN__density__fold4.pt,568164040,f1d1f34d73ef82cb383f064e90072d3ef047eba0e810724746fc69e095a29eb8,MD_FINAL1640_v2 final checkpoint,1276085302,df73fdd530122672f223edc456b9d31d17d4967a8f930bcdea63d8f1c3cf4f66,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,Rg,0,md_final1640_v2/FRPN/Rg/FRPN__Rg__fold0.pt,568160035,37ce55782111adb940146096903b08f007f58970e848ce78a8ac093eadc09b7d,MD_FINAL1640_v2 final checkpoint,1276085302,db3baf78dfb0569850e7571d65f6d7996f1e259938533de7598a29f7b83406f9,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,Rg,1,md_final1640_v2/FRPN/Rg/FRPN__Rg__fold1.pt,568160035,33b5475c49d04abf526a59afa3eb8c0ccb2c03913f9595c13b9c3ff4c148f694,MD_FINAL1640_v2 final checkpoint,1276085302,949adb63914f61bcab2c713564e50e5d48606be4b9e339f1f17dca581e540304,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,Rg,2,md_final1640_v2/FRPN/Rg/FRPN__Rg__fold2.pt,568160035,75a69fdf88f8f16b0ce28801d1ef3941f576ecd5559523b2406825d6ee520aba,MD_FINAL1640_v2 final checkpoint,1276085302,7ddae431652b55a5069f9cef0972c6c13e658daa08bc1a79d31305efe5f4fbd2,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,Rg,3,md_final1640_v2/FRPN/Rg/FRPN__Rg__fold3.pt,568160035,4cf3367bb832aa02efef75567ebdaf3eb4b42338242959dd7fef0ac920eb8cc2,MD_FINAL1640_v2 final checkpoint,1276085302,d934f1aad5811ec7f7ceeda2e78d0c1a4e50d9d785d0e46da3f457c31cf611f7,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,Rg,4,md_final1640_v2/FRPN/Rg/FRPN__Rg__fold4.pt,568160035,9787982e83e10d6cef594246ab340ff88a844287ffda3b9d96cb5191bfbbe168,MD_FINAL1640_v2 final checkpoint,1276085302,439b8574076be1a58b4f6a20c9bf56f7d285fa9ff83736b113aaf325087dda3c,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,D,0,md_final1640_v2/FRPN/D/FRPN__D__fold0.pt,568159298,3b3a56ca7d23769afc4afdb589fc83678c8dd81507ced6cca137e52f75e6ac24,MD_FINAL1640_v2 final checkpoint,1276085302,7c7c77aad963dcc8b08855d2794edc2a5a93b47e5b86270f1b0c90fd69d0210d,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,D,1,md_final1640_v2/FRPN/D/FRPN__D__fold1.pt,568159298,f4b1809bf68936cebf4e5779c242d85ef93a79f45af85e27340fdc1501008edd,MD_FINAL1640_v2 final checkpoint,1276085302,01498a0f131bc661c1dff4609a89da9aff91570ba12854e3461ebd6b3d9e9cb3,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,D,2,md_final1640_v2/FRPN/D/FRPN__D__fold2.pt,568159298,03a70635b29bdb986199bdc1a6c92692b9179d37decaa605235102111730d0c8,MD_FINAL1640_v2 final checkpoint,1276085302,51be852a9ec92eaef5ecc7d52861e50eb044c32c8881fe387cfd63b25bbb768d,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,D,3,md_final1640_v2/FRPN/D/FRPN__D__fold3.pt,568159298,33b44fad2819c9d5a1a3bf52de404d182a53f41c5f3d22ae5be414fb66d60053,MD_FINAL1640_v2 final checkpoint,1276085302,9d84348585ca51c46d8b8f68f47adf923b44cdff43187676e167be5e326e89b7,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,D,4,md_final1640_v2/FRPN/D/FRPN__D__fold4.pt,568159298,4800d287cc15a87ef37f1f67f66a08267849b40bdd3ad1a0b90ee03e5d81ac14,MD_FINAL1640_v2 final checkpoint,1276085302,624b22e10db6b665d6775a58693626567114e004b4f79911af1236553d757e78,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,S_q_peak,0,md_final1640_v2/FRPN/S_q_peak/FRPN__S_q_peak__fold0.pt,568164841,70a0b620b138b67edf8b6e54a5de28d4dec37b63e5f55a1f1a17990c01b2b9ab,MD_FINAL1640_v2 final checkpoint,1276085302,39c7a19bbca354dfc163ccec18baf74763eed0157aaf13d1a4aba4d9e53c25ba,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,S_q_peak,1,md_final1640_v2/FRPN/S_q_peak/FRPN__S_q_peak__fold1.pt,568164841,8d39faaa956960a2bad0b7c4ec5b0966b9ef07a6b40bf2ab538b34201bb721f7,MD_FINAL1640_v2 final checkpoint,1276085302,bf0270eeb74c487e6e9ccc97ffc90c0ffd05607a7da2bbfc455776b0a3540638,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,S_q_peak,2,md_final1640_v2/FRPN/S_q_peak/FRPN__S_q_peak__fold2.pt,568164841,2a1e5f1e43a046cfaac5dd7dd30dba8773b47b4796b657ae8cd802e7c0648854,MD_FINAL1640_v2 final checkpoint,1276085302,0ac4b01f89598c4ac70cdb7cc06ea8136dbcc256859698f5085ccf5d84439b49,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,S_q_peak,3,md_final1640_v2/FRPN/S_q_peak/FRPN__S_q_peak__fold3.pt,568164841,77373f0f758de890f5e1d4abe3350dd5ba3aabeadd8abd962ab356ad52545403,MD_FINAL1640_v2 final checkpoint,1276085302,2006cec112164e78c15c34176622f328bcb659d263ff527416006a748b47fe7e,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,S_q_peak,4,md_final1640_v2/FRPN/S_q_peak/FRPN__S_q_peak__fold4.pt,568164841,4cbd5b1c9ba9e393812b3b173947bd4a1247be494755f99cbb2dc70976f6944b,MD_FINAL1640_v2 final checkpoint,1276085302,7ee79d8f3320dad94c8513412c58f1a6d2369bf8acc90cb1ed86e98bb595ee90,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,nematic_order,0,md_final1640_v2/FRPN/nematic_order/FRPN__nematic_order__fold0.pt,568168590,b18db9955d11d119a0f830c1316bc2b844d1672c9cf0e87b47a0a1ab43c65a1e,MD_FINAL1640_v2 final checkpoint,1276085302,1de4c42941191ba331a9684c01510f4e2552b6005c1f4ac77ffbd628e82e159b,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,nematic_order,1,md_final1640_v2/FRPN/nematic_order/FRPN__nematic_order__fold1.pt,568168590,c06e788e2133f4b1589d23bbcdcf43101ad66baca02c168206d58a1a9df2421e,MD_FINAL1640_v2 final checkpoint,1276085302,9a94ddaaf20a59fdd247cea153dbc7047744e3b763c8d1f11d6da9c5623ded19,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,nematic_order,2,md_final1640_v2/FRPN/nematic_order/FRPN__nematic_order__fold2.pt,568168590,da5b9023fd79b096c110e1f927eb50c6c246673f187ab478ffe51aa0a4dfac8c,MD_FINAL1640_v2 final checkpoint,1276085302,94908d7319c3753a81b19481ad27d16528064f081e751f9e24135095d3fe10a7,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,nematic_order,3,md_final1640_v2/FRPN/nematic_order/FRPN__nematic_order__fold3.pt,568168590,0e6ecc94a39660baa961860c8da718f914b2587c3be95783fc596bf24cf59875,MD_FINAL1640_v2 final checkpoint,1276085302,f2f7c13d9df2ce05ea3e8223eef0b72f889c5a15dc03bbc37b5883f0ddc3e92d,optimizer_state,retained tensors and metadata exactly equal after save/load
md_final1640_v2,FRPN,nematic_order,4,md_final1640_v2/FRPN/nematic_order/FRPN__nematic_order__fold4.pt,568168590,fb2d431009ddde8d0aabc00b4fcb96f9aa7e2f17a1f56ec4f07fcb9a3cce97de,MD_FINAL1640_v2 final checkpoint,1276085302,0b7c4885636b4fe3a180ed3c5091a205f51578ab8ce1bd788167a4190e00ff36,optimizer_state,retained tensors and metadata exactly equal after save/load
