dataset_row,temperature_K,domain,sample_id,topology,Index,archive_file,size_bytes,sha256,n_atoms,sum_charge,min_charge,max_charge
52,300,300K_orthogonal800,linear_orth800_uid000285_sk1_rg0_pl1_random__41fba7a76016,linear,1,300K_orthogonal800/row_0052__linear_orth800_uid000285_sk1_rg0_pl1_random__41fba7a76016.data,343813,1e27beecd3b9d10c2f5de6b78220c14ea1928bf755578c1a62ab2b351cf8221b,1010,4.385380947269368e-15,-0.448078,0.503364
53,300,300K_orthogonal800,branch_orth800_uid001502_sk19_rg1_pl1_alternating__b5057e15751f,branch,19,300K_orthogonal800/row_0053__branch_orth800_uid001502_sk19_rg1_pl1_alternating__b5057e15751f.data,329706,ea380381bbb456830cc3cbca8c2f8d0db0f45f04ddd26dbfcccb71a82931ee96,904,1.3322676295501878e-15,-0.563799,1.267522
54,300,300K_orthogonal800,cyclic_orth800_uid000585_sk5_rg1_pl1_alternating__0d3c030cc4af,cyclic,5,300K_orthogonal800/row_0054__cyclic_orth800_uid000585_sk5_rg1_pl1_alternating__0d3c030cc4af.data,330479,a23cd920f49a68efd322e51958efe31e21f35ee64553bf2a75ab2ccf1664673e,940,1.7208456881689926e-15,-0.444647,0.508947
55,300,300K_prod400,cyclic_uid000008_idx34_rg0_pl0_block__ead00db17929,cyclic,34,300K_prod400/row_0055__cyclic_uid000008_idx34_rg0_pl0_block__ead00db17929.data,361406,6942c98da56d9970cad6f9bdade78afe94acae294ae944220c034b159a2e4676,1038,-2.5999999902770465e-06,-1.12653088,0.57950613
56,300,300K_prod400,cyclic_uid000052_idx44_rg1_pl2_gradient__e99fa395f267,cyclic,44,300K_prod400/row_0056__cyclic_uid000052_idx44_rg1_pl2_gradient__e99fa395f267.data,308186,e9490533a4ea052d9678f809db15f423a242f60539698a47f372e9035e9e165d,912,-2.279999986087855e-06,-1.10802819,0.57750081
57,300,300K_orthogonal800,star_orth800_uid000840_sk14_rg0_pl2_block__c70ddb7ecf75,star,14,300K_orthogonal800/row_0057__star_orth800_uid000840_sk14_rg0_pl2_block__c70ddb7ecf75.data,364492,ea99d1b80fe3550a7c2d0f57c32da2318fb8add7a81b2dfdad541128e2efc324,1032,-3.885780586188048e-16,-0.486734,0.460076
58,300,300K_orthogonal800,branch_orth800_uid001527_sk19_rg1_pl2_alternating__84dc37565d80,branch,19,300K_orthogonal800/row_0058__branch_orth800_uid001527_sk19_rg1_pl2_alternating__84dc37565d80.data,330600,d1464f5cddfba816862bde2d0211e2461a2ebdc94cd579d8565d1f7a546109ed,905,-1.3322676295501878e-15,-0.537187,1.294207
59,300,300K_prod400,cyclic_uid000037_idx29_rg1_pl0_gradient__2eb2c7a134db,cyclic,29,300K_prod400/row_0059__cyclic_uid000037_idx29_rg1_pl0_gradient__2eb2c7a134db.data,326205,656effa8c56b6a07bb76f3928816eb877d518e273dcac95834ce16fa8faaed27,914,2.2999999974016028e-06,-0.51516707,0.71246147
60,300,300K_prod400,cyclic_uid000070_idx26_rg2_pl1_random__c642c1f41717,cyclic,26,300K_prod400/row_0060__cyclic_uid000070_idx26_rg2_pl1_random__c642c1f41717.data,310356,55594e950b03eef9bed1f03de9afc12636dcba38a3772df572d6dd4a3123bd42,936,-2.080000007398386e-06,-0.530867,0.415301
61,300,300K_orthogonal800,star_orth800_uid000912_sk11_rg1_pl2_block__0198dc8f082c,star,11,300K_orthogonal800/row_0061__star_orth800_uid000912_sk11_rg1_pl2_block__0198dc8f082c.data,359460,90da2731938eb5162e6dfc4561b50b3f1993b9b92c15d4b6a94498311981689d,1045,3.608224830031759e-16,-0.563397,1.258176
62,300,300K_prod400,cyclic_uid000216_idx36_rg0_pl0_block__0d25ed4aebe7,cyclic,36,300K_prod400/row_0062__cyclic_uid000216_idx36_rg0_pl0_block__0d25ed4aebe7.data,330614,2b5a705be9b26913b1391643c79f8b03b4b0170846e2426616bce47f5e0f89ef,952,1.1599999953648688e-06,-1.115086,0.57750081
