dataset_row,temperature_K,domain,sample_id,topology,Index,archive_file,size_bytes,sha256,n_atoms,sum_charge,min_charge,max_charge
74,300,300K_prod400,linear_uid000047_idx15_rg1_pl0_alternating__a9e03578abe3,linear,15,300K_prod400/row_0074__linear_uid000047_idx15_rg1_pl0_alternating__a9e03578abe3.data,314467,40a07e437a233ec06334423a931424b610586f4639dcc4ed357b8eb4a95fcb6b,911,-2.119999994554256e-06,-1.12499513,0.71202633
75,300,300K_prod400,linear_uid000058_idx4_rg1_pl1_gradient__663960dd9be6,linear,4,300K_prod400/row_0075__linear_uid000058_idx4_rg1_pl1_gradient__663960dd9be6.data,312536,e373cecea7d6f90b6f4560afbe7e7bc52a0f3e04dbb7694eff5e84502a6add5b,926,-2.0799999864429264e-06,-1.12596031,0.57750081
76,300,300K_orthogonal800,star_orth800_uid000995_sk10_rg2_pl2_block__b906d660e0eb,star,10,300K_orthogonal800/row_0076__star_orth800_uid000995_sk10_rg2_pl2_block__b906d660e0eb.data,389982,4bb313262801a79b11f14249aee5ee5bd7aa8169cad22318b3fb0c358a460bda,1094,-2.498001805406602e-16,-0.484852,0.456681
77,300,300K_orthogonal800,star_orth800_uid000811_sk8_rg0_pl1_block__56b3ac0e9cae,star,8,300K_orthogonal800/row_0077__star_orth800_uid000811_sk8_rg0_pl1_block__56b3ac0e9cae.data,366846,3720f5914dec32edf38b9e1bfb6200df3a1b23e9cd759fed1abea9ee89b971e6,1037,3.0808688933348094e-15,-3.124198,4.124479
78,300,300K_orthogonal800,linear_orth800_uid000158_sk2_rg0_pl1_alternating__0361d363a136,linear,2,300K_orthogonal800/row_0078__linear_orth800_uid000158_sk2_rg0_pl1_alternating__0361d363a136.data,303763,48ee22d56935276b20436d61ef4cec913aa64e2d08788909af55146e274c5e81,928,-1.1102230246251565e-16,-1.99655,3.090464
79,300,300K_orthogonal800,star_orth800_uid000810_sk8_rg0_pl1_block__30268a3e74e7,star,8,300K_orthogonal800/row_0079__star_orth800_uid000810_sk8_rg0_pl1_block__30268a3e74e7.data,344262,e9f54cfa80c0c074154e93335e30113d040850d20ca79104d67ce778e73fe963,945,2.248201624865942e-15,-0.461368,0.456385
80,300,300K_orthogonal800,cyclic_orth800_uid000674_sk5_rg0_pl1_random__d95e6fb7c625,cyclic,5,300K_orthogonal800/row_0080__cyclic_orth800_uid000674_sk5_rg0_pl1_random__d95e6fb7c625.data,302089,ee0a2d798da6fd1290808c365329b53754987d0ffc6535cc0ad4ccd7c80d57e0,920,-5.551115123125783e-16,-3.124198,4.124479
81,300,300K_prod400,linear_uid000093_idx4_rg2_pl1_gradient__25c652c9c293,linear,4,300K_prod400/row_0081__linear_uid000093_idx4_rg2_pl1_gradient__25c652c9c293.data,315317,615c8083bb888091c52d8019e690d5417875f8c724b157035b1260676c861052,934,-2.259999987153094e-06,-1.11894688,0.57750081
82,300,300K_orthogonal800,cyclic_orth800_uid000693_sk5_rg1_pl0_random__f03f83cbfd4f,cyclic,5,300K_orthogonal800/row_0082__cyclic_orth800_uid000693_sk5_rg1_pl0_random__f03f83cbfd4f.data,316464,b50e055dbe97a6567b50ee0656dcda51629076d7761847bb4bb5755839964045,940,-3.3306690738754696e-16,-3.124198,4.124479
83,300,300K_orthogonal800,branch_orth800_uid001375_sk19_rg1_pl2_block__52cc5e32aec3,branch,19,300K_orthogonal800/row_0083__branch_orth800_uid001375_sk19_rg1_pl2_block__52cc5e32aec3.data,330395,1520a0d04d2b6d69253b7825c32127ccdc093875471ff58b35782768870e945d,905,3.1086244689504383e-15,-0.558965,1.279923
84,300,300K_orthogonal800,cyclic_orth800_uid000710_sk5_rg1_pl1_random__279759c70494,cyclic,5,300K_orthogonal800/row_0084__cyclic_orth800_uid000710_sk5_rg1_pl1_random__279759c70494.data,368220,aae85cac043243bd95cd64d4ea9970de87e8ca510eb3f183500ac58741e9f205,1064,-2.3314683517128287e-15,-3.040642,3.789268
85,300,300K_orthogonal800,cyclic_orth800_uid000564_sk5_rg1_pl0_alternating__348713f17da7,cyclic,5,300K_orthogonal800/row_0085__cyclic_orth800_uid000564_sk5_rg1_pl0_alternating__348713f17da7.data,355320,ddd539b6c03fc855db1ef881a5141ad66f8f946ba46bb1c338364449031c23e9,1040,9.020562075079397e-15,-0.444835,0.503364
86,300,300K_orthogonal800,star_orth800_uid000875_sk9_rg1_pl0_block__c4fb2adc0fe5,star,9,300K_orthogonal800/row_0086__star_orth800_uid000875_sk9_rg1_pl0_block__c4fb2adc0fe5.data,374047,08e866736c0f8b4852e8d8dd8c44d66fa55e8b12e3328b4ac6dbeca1b3d0f04d,1015,5.828670879282072e-16,-0.32825,0.16858
87,300,300K_orthogonal800,star_orth800_uid001009_sk11_rg2_pl2_block__e0190d3e1031,star,11,300K_orthogonal800/row_0087__star_orth800_uid001009_sk11_rg2_pl2_block__e0190d3e1031.data,358645,6b93eb38a9ce0466c36879d60a334bc9f7c84a6adc4b4b93aa783ca96182758d,1044,3.608224830031759e-16,-0.448078,0.522255
88,300,300K_orthogonal800,star_orth800_uid000962_sk13_rg2_pl1_block__5b176135895d,star,13,300K_orthogonal800/row_0088__star_orth800_uid000962_sk13_rg2_pl1_block__5b176135895d.data,328909,1b43e4c1433987306af3035c9c5fcdfca61a95668cc4db5a07a19e4bcf15a0e3,924,-2.0816681711721685e-15,-0.557034,1.259789
89,300,300K_orthogonal800,star_orth800_uid000868_sk9_rg1_pl0_block__8c515a53ab69,star,9,300K_orthogonal800/row_0089__star_orth800_uid000868_sk9_rg1_pl0_block__8c515a53ab69.data,387180,bba13de15f42a2a34d0e50566cc56c26775528e6c32478ed6b9eb74802a836a1,1051,3.608224830031759e-16,-0.327076,0.188314
90,300,300K_prod400,star_uid000175_idx58_rg0_pl1_random__11d19b274b56,star,58,300K_prod400/row_0090__star_uid000175_idx58_rg0_pl1_random__11d19b274b56.data,317130,8bb38d3dc25fc1cac9581fc43b66d8fc1c79dfc610c96e1b8319227a134f8295,945,1.7799999918743925e-06,-0.39508273,0.17262267
91,300,300K_orthogonal800,star_orth800_uid000905_sk10_rg1_pl1_block__b0ad12e09e4d,star,10,300K_orthogonal800/row_0091__star_orth800_uid000905_sk10_rg1_pl1_block__b0ad12e09e4d.data,317856,709e1eb5be55485ef2d636c3b884bac4a9419cc40d0f1a6e9d0bb7894845a195,923,-1.6653345369377348e-16,-0.575858,1.291089
92,300,300K_orthogonal800,cyclic_orth800_uid000738_sk7_rg1_pl2_random__1fb25e11aaa9,cyclic,7,300K_orthogonal800/row_0092__cyclic_orth800_uid000738_sk7_rg1_pl2_random__1fb25e11aaa9.data,318554,bce070f2ba4bcd22403b54b8e05a1bbf4f31a7ad0d0745e450a6c55c29d1ce2b,910,2.1649348980190553e-15,-0.5173,0.191838
93,300,300K_orthogonal800,star_orth800_uid000892_sk10_rg1_pl1_block__cf00814399e1,star,10,300K_orthogonal800/row_0093__star_orth800_uid000892_sk10_rg1_pl1_block__cf00814399e1.data,334985,0c73359853bc4f31ebcd99ba360d581592365d770c7716390a891f2783bae426,975,4.0245584642661925e-15,-3.124198,4.124479
94,300,300K_orthogonal800,cyclic_orth800_uid000444_sk4_rg1_pl0_block__8f7b22187609,cyclic,4,300K_orthogonal800/row_0094__cyclic_orth800_uid000444_sk4_rg1_pl0_block__8f7b22187609.data,387601,85fda6a999ef919c5bafecd11869e493936e0c1b3ba734cb3c479ee5b78d9c6b,1065,2.7755575615628914e-16,-0.391517,0.16858
95,300,300K_prod400,comb_uid000159_idx107_rg0_pl2_junction_enriched__54c6d86b55bd,comb,107,300K_prod400/row_0095__comb_uid000159_idx107_rg0_pl2_junction_enriched__54c6d86b55bd.data,309528,4470ff009c81b92449924e580ac3ca8e2c173a925bab3ed5e84055ce24d8e96b,901,-7.599999924112755e-07,-1.12332681,0.57750081
96,300,300K_orthogonal800,linear_orth800_uid000348_sk1_rg1_pl1_random__e3fa60e9c6d2,linear,1,300K_orthogonal800/row_0096__linear_orth800_uid000348_sk1_rg1_pl1_random__e3fa60e9c6d2.data,379504,57ec65a782eebb726d3e45fcbbc4ff9e480c23789b4be449aec8cc33e6fb2571,1068,1.0269562977782698e-15,-1.164505,0.617484
97,300,300K_orthogonal800,linear_orth800_uid000324_sk3_rg1_pl0_random__ac3d0b95533a,linear,3,300K_orthogonal800/row_0097__linear_orth800_uid000324_sk3_rg1_pl0_random__ac3d0b95533a.data,384405,c9348f2ca78c2034c869b89383fc4e5765c5faed1a9222c73998cbecfc93d7e0,1082,-2.0539125955565396e-15,-0.480102,0.176283
98,300,300K_prod400,linear_uid000069_idx16_rg1_pl1_gradient__87ebc436867a,linear,16,300K_prod400/row_0098__linear_uid000069_idx16_rg1_pl1_gradient__87ebc436867a.data,354966,9c6cb5c29339e1ba58cf28fed85c64c2cace50e242488f5d9cf07ab67be469b6,1044,7.999999988850259e-07,-1.115086,0.57750081
99,300,300K_prod400,cyclic_uid000243_idx36_rg1_pl0_block__243e947954b5,cyclic,36,300K_prod400/row_0099__cyclic_uid000243_idx36_rg1_pl0_block__243e947954b5.data,306976,3605ac4b9bbd2b34b95f7ce7021a1024f315639f1c91b32720538cc70a3984da,924,1.9199999936603263e-06,-0.50602375,0.39786325
